uid;____;______ _____;______ ____;_____ _____;_____ ____
10Ê175Ê770;23.04.2016 16:15;___ _________;0;________ 2015;399
10Ê173Ê857;16.03.2016 21:05;___ _________;0;_____ ______ 50;300
10Ê125Ê184;28.04.2016 9:50;_______;300;___ _________;0
10Ê042Ê307;16.03.2016 21:12;___ _________;0;_____ ______ 70;350
10Ê018Ê492;26.05.2012 15:41;______ _____ 500;500;______ _____ 500 _________;380
10Ê036Ê882;17.03.2016 12:36;___ _________;0;_____ ______ 50;300
10Ê177Ê570;03.06.2016 10:37;________ 2015;399;_________ 200;200
10Ê056Ê168;20.03.2016 18:01;___ _________;0;_____ ______ 50;300
10Ê172Ê828;26.02.2016 11:43;___ _________;0;_____ ______ 50;300
10Ê088Ê712;17.03.2016 12:48;_____ ______ 70;350;___________ 50;250
10Ê030Ê882;17.05.2016 10:31;___ _________;0;_____ ______ 70;350
10Ê171Ê122;29.04.2016 13:08;___ _________;0;_____ ______ 70;350
10Ê173Ê950;19.03.2016 19:57;___ _________;0;_____ ______ 50;300
10Ê019Ê048;06.08.2012 11:06;______ _____ 500;500;______ _____ 500 _________;380
10Ê174Ê121;22.03.2016 10:57;___ _________;0;________ 2015;399
10Ê040Ê122;27.04.2016 14:18;___ _________;0;________ 2015;399
10Ê168Ê464;18.08.2016 10:32;_____ ______ 70;350;___ _________;0
10Ê060Ê553;17.03.2016 13:00;___ _________;0;___________ 50;250
10Ê174Ê032;19.03.2016 20:43;___ _________;0;_____ ______ 50;300
10Ê019Ê641;14.08.2014 15:16;______ _____ 500 _________;380;__600;600
10Ê035Ê463;31.08.2016 10:45;___ _________;0;_____ ______ 70;350
10Ê103Ê893;21.12.2015 11:39;______ _____ 500 _________;380;_____ ______ 70;350
10Ê103Ê893;17.03.2016 13:08;_____ ______ 70;350;___ _________;0
10Ê174Ê006;19.03.2016 21:09;___ _________;0;_____ ______ 70;350
10Ê019Ê944;25.05.2012 17:52;______ _____ 500;500;______ _____ 500 _________;380
10Ê185Ê763;06.12.2016 11:23;___ _________;0;____ 25;249
10Ê173Ê846;19.03.2016 21:58;___ _________;0;________ 2015;399
10Ê176Ê225;29.04.2016 13:14;___ _________;0;________ 2015;399
10Ê020Ê408;11.06.2012 11:48;______ _____ 500 _________;380;______ _____ 500 _________;380
10Ê020Ê624;01.04.2012 0:05;_____;370;__ _____ 10;300
10Ê020Ê744;01.08.2012 9:31;_____;370;______ _____ 500 _________;380
10Ê024Ê339;15.03.2016 10:14;______ _____ 600 _________;480;________;400
10Ê174Ê051;21.03.2016 16:05;___ _________;0;_____ ______ 70;350
10Ê012Ê177;03.01.2016 11:26;___ _________;0;________ 2015;399
10Ê020Ê938;16.05.2012 19:44;______ _____ 700;700;______ _____ 700 _________;580
10Ê170Ê000;26.04.2016 15:54;___ _________;0;_____ ______ 50;300
10Ê021Ê137;01.10.2013 1:20;______ _____ 500 _________;380;_______;300
10Ê021Ê270;06.03.2013 11:17;___ _________;0;______ _____ 500 _________;380
10Ê176Ê335;03.05.2016 13:15;___ _________;0;_____ ______ 70;350
10Ê021Ê270;18.11.2013 16:05;______ _____ 500 _________;380;______ _____ 600 _________;480
10Ê164Ê914;06.10.2015 18:51;___ _________;0;_____ ______ 50;300
10Ê107Ê002;26.12.2015 12:49;___ _________;0;________ 2015;399
10Ê021Ê485;01.10.2013 1:20;______ _____ 700 _________;580;______ _____ 500 _________;380
10Ê173Ê955;20.03.2016 20:16;___ _________;0;_____ ______ 50;300
10Ê021Ê485;01.02.2012 11:48;______ _____ 500;500;______ _____ 600;600
10Ê021Ê485;12.12.2012 16:38;______ _____ 600 _________;480;______ _____ 700 _________;580
10Ê175Ê943;27.04.2016 14:39;___ _________;0;_____ ______ 70;350
10Ê021Ê517;01.08.2012 0:05;_____;370;_______;300
10Ê021Ê517;18.06.2014 17:40;_______;300;______ _____ 500 _________;380
10Ê173Ê370;28.04.2016 10:30;___ _________;0;________ 2015;399
10Ê176Ê200;29.04.2016 13:16;___ _________;0;_____ ______ 50;300
10Ê024Ê339;21.03.2016 9:39;________;400;___ _________;0
10Ê021Ê679;01.08.2013 14:40;___ _________;0;______ _____ 500 _________;380
10Ê021Ê679;16.08.2014 18:17;______ _____ 500 _________;380;__600;600
10Ê021Ê806;06.05.2014 19:39;___ _________;0;_______;300
10Ê039Ê322;21.03.2016 9:40;______ _____ 500 _________;380;___ _________;0
10Ê175Ê893;27.04.2016 14:46;___ _________;0;_____ ______ 70;350
10Ê022Ê139;15.06.2012 19:54;______ _____ 500;500;______ _____ 500 _________;380
10Ê175Ê779;28.04.2016 10:43;___ _________;0;_____ ______ 70;350
10Ê022Ê133;01.07.2012 12:41;______ _____ 500;500;______ _____ 500 _________;380
10Ê022Ê133;01.07.2012 12:41;______ _____ 500 _________;380;______ _____ 500 _________;380
10Ê172Ê391;13.02.2016 13:58;___ _________;0;________ 2015;399
10Ê175Ê691;28.04.2016 10:48;___ _________;0;_____ ______ 70;350
10Ê172Ê391;17.03.2016 13:52;________ 2015;399;_____ ______ 70;350
10Ê022Ê489;06.07.2014 11:56;______ _____ 500 _________;380;______ _____ 600 _________;480
10Ê033Ê323;28.04.2016 10:57;___ _________;0;_____ ______ 50;300
10Ê175Ê929;26.04.2016 16:10;___ _________;0;________ 2015;399
10Ê180Ê924;27.08.2016 13:21;___ _________;0;________;400
10Ê022Ê897;17.12.2012 10:55;_____;370;______ _____ 500 _________;380
10Ê056Ê473;28.04.2016 11:13;___ _________;0;_____ ______ 50;300
10Ê176Ê318;03.05.2016 13:30;___ _________;0;_____ ______ 50;300
10Ê095Ê025;03.03.2016 11:00;___ _________;0;_____ ______ 70;350
10Ê023Ê354;27.02.2013 19:33;___ _________;0;______ _____ 600 _________;480
10Ê173Ê913;17.03.2016 14:04;___ _________;0;_____ ______ 50;300
10Ê176Ê033;27.04.2016 15:28;___ _________;0;________ 2015;399
10Ê023Ê536;01.09.2012 17:44;_____;370;______ _____ 500 _________;380
10Ê173Ê297;24.03.2016 9:44;___ _________;0;_____ ______ 50;300
10Ê176Ê109;28.04.2016 11:17;___ _________;0;_____ ______ 50;300
10Ê023Ê789;24.05.2012 13:43;______ _____ 500;500;______ _____ 500 _________;380
10Ê023Ê893;11.07.2012 19:10;______ _____ 500;500;______ _____ 500 _________;380
10Ê078Ê551;17.03.2016 14:07;___ _________;0;________ 2015;399
10Ê023Ê997;28.08.2012 17:55;______ _____ 500;500;______ _____ 500 _________;380
10Ê023Ê893;10.11.2013 13:24;______ _____ 500 _________;380;______ _____ 600 _________;480
10Ê023Ê997;25.08.2014 20:11;______ _____ 500 _________;380;______ _____ 600 _________;480
10Ê181Ê324;24.09.2016 19:34;___ _________;0;_____ ______ 70;350
10Ê155Ê182;29.06.2015 12:49;___ _________;0;________ 2015;399
10Ê155Ê182;21.03.2016 9:46;________ 2015;399;___ _________;0
10Ê026Ê843;17.03.2016 14:11;___ _________;0;________ 2015;399
10Ê121Ê537;23.07.2015 9:38;___ _________;0;________ 2015;399
10Ê121Ê537;18.03.2016 14:43;________ 2015;399;___ _________;0
10Ê028Ê310;21.03.2016 9:51;________ 2015;399;___ _________;0
10Ê024Ê478;21.08.2012 12:57;______ _____ 500;500;______ _____ 500 _________;380
10Ê183Ê535;19.10.2016 11:24;___ _________;0;________ 2015;399
10Ê024Ê478;17.06.2013 19:53;______ _____ 500 _________;380;______ _____ 600 _________;480
10Ê072Ê956;17.02.2016 9:17;___________ 50;250;___ _________;0
10Ê125Ê462;01.12.2016 12:04;___ _________;0;_____ ______ 50;300
10Ê024Ê836;23.11.2012 9:50;___ _________;0;_______+;500
10Ê173Ê895;17.03.2016 14:17;___ _________;0;________ 2015;399
10Ê024Ê836;03.06.2014 17:55;___ _________;0;______ _____ 600 _________;480
10Ê037Ê549;27.04.2016 15:36;___ _________;0;________ 2015;399
10Ê025Ê246;17.09.2013 11:47;___ _________;0;______ _____ 500 _________;380
10Ê042Ê688;12.11.2015 14:42;________ 2015;399;___________ 50;250
10Ê027Ê901;17.03.2016 14:22;______ _____ 500 _________;380;___ _________;0
10Ê042Ê688;28.04.2016 11:56;___________ 50;250;___ _________;0
10Ê175Ê953;26.04.2016 16:36;___ _________;0;________ 2015;399
10Ê175Ê872;28.04.2016 11:57;___ _________;0;_____ ______ 70;350
10Ê059Ê882;27.04.2016 15:38;___ _________;0;________ 2015;399
10Ê025Ê372;26.09.2013 12:43;___ _________;0;______ _____ 500 _________;380
10Ê025Ê501;10.01.2014 15:42;___ _________;0;_______;300
10Ê118Ê093;03.05.2016 13:33;___ _________;0;________ 2015;399
10Ê025Ê672;01.01.2012 0:05;______ _____ 500;500;__ _____ 10;300
10Ê175Ê687;28.04.2016 12:03;___ _________;0;_____ ______ 50;300
10Ê173Ê954;18.03.2016 14:49;___ _________;0;________ 2015;399
10Ê025Ê672;01.04.2014 1:20;_______;300;______ _____ 500 _________;380
10Ê175Ê769;28.04.2016 12:03;___ _________;0;_____ ______ 70;350
10Ê175Ê942;28.04.2016 12:12;___ _________;0;________ 2015;399
10Ê025Ê873;30.01.2014 20:59;___ _________;0;______ _____ 500 _________;380
10Ê058Ê175;19.02.2016 11:04;___ _________;0;_____ ______ 70;350
10Ê174Ê799;02.04.2016 14:18;___ _________;0;_____ ______ 70;350
10Ê026Ê349;23.05.2014 13:27;___ _________;0;______ _____ 500 _________;380
10Ê026Ê394;13.06.2012 19:29;______ _____ 500;500;______ _____ 500 _________;380
10Ê175Ê924;26.04.2016 16:39;___ _________;0;________ 2015;399
10Ê026Ê435;17.08.2012 20:53;__ _____ 10;300;_______;300
10Ê183Ê096;09.10.2016 11:29;___ _________;0;_____ ______ 70;350
10Ê026Ê908;13.03.2013 17:28;_______;300;______ _____ 500 _________;380
10Ê026Ê924;09.06.2012 8:58;__ _____ 10;300;_______;300
10Ê026Ê908;20.11.2013 16:50;______ _____ 500 _________;380;______ _____ 600 ____;480
10Ê027Ê131;12.12.2013 14:48;____-_____ 444;324;______ _____ 500 _________;380
10Ê186Ê375;17.12.2016 11:17;_____ ______ 70;350;________ 99;399
10Ê027Ê296;12.07.2012 17:33;______ _____ 500;500;______ _____ 500 _________;380
10Ê125Ê044;28.04.2016 12:17;___ _________;0;_____ ______ 50;300
10Ê172Ê288;13.02.2016 17:45;___ _________;0;________ 2015;399
10Ê172Ê288;26.04.2016 16:54;________ 2015;399;___________ 50;250
10Ê027Ê926;01.05.2013 0:05;______ _____ 500 _________;380;_______;300
10Ê027Ê923;28.03.2014 10:52;______ _____ 500 _________;380;______ _____ 600 _________;480
10Ê014Ê479;26.04.2016 17:00;___ _________;0;_____ ______ 50;300
10Ê175Ê931;28.04.2016 12:24;___ _________;0;_____ ______ 70;350
10Ê116Ê787;26.04.2016 17:37;___ _________;0;_____ ______ 50;300
10Ê175Ê704;28.04.2016 12:26;___ _________;0;_____ ______ 50;300
10Ê028Ê645;08.12.2011 16:05;__ _____ 10;300;______ _____ 600;600
10Ê028Ê645;08.12.2011 16:09;______ _____ 600;600;__ _____ 20;600
10Ê158Ê226;28.04.2016 13:06;___ _________;0;_____ ______ 50;300
10Ê144Ê681;01.10.2014 16:32;___ _________;0;________;400
10Ê144Ê681;18.03.2016 15:26;________;400;___ _________;0
10Ê177Ê147;24.05.2016 11:40;___ _________;0;________;400
10Ê077Ê171;20.04.2016 10:41;____-_____ 444;324;___ _________;0
10Ê144Ê770;28.04.2016 13:18;___ _________;0;_____ ______ 70;350
10Ê029Ê225;28.12.2012 13:05;___ _________;0;______ _____ 500 _________;380
10Ê029Ê274;27.05.2013 13:36;___ _________;0;______ _____ 500 _________;380
10Ê031Ê428;29.12.2015 10:21;___ _________;0;_____ ______ 50;300
10Ê033Ê280;21.03.2016 10:01;___ _________;0;________ 2015;399
10Ê029Ê392;01.04.2012 0:05;______ _____ 700;700;______ _____ 500;500
10Ê066Ê463;17.03.2016 15:24;___ _________;0;_____ ______ 70;350
10Ê029Ê627;28.01.2013 12:07;___ _________;0;______ _____ 500 _________;380
10Ê029Ê627;25.07.2014 14:11;______ _____ 500 _________;380;__600;600
10Ê029Ê642;29.10.2013 17:28;___ _________;0;______ _____ 500 _________;380
10Ê177Ê570;21.06.2016 9:13;_________ 200;200;______ 30 __/_;0
10Ê173Ê946;18.03.2016 15:31;___ _________;0;________ 2015;399
10Ê086Ê503;28.04.2016 13:53;___ _________;0;_____ ______ 50;300
10Ê009Ê217;19.08.2016 10:38;___ _________;0;________ 2015;399
10Ê171Ê815;12.02.2016 10:28;___ _________;0;_____ ______ 50;300
10Ê064Ê528;15.03.2016 10:14;______ _____ 600 _________;480;________;400
10Ê076Ê145;28.09.2014 12:27;______ _____ 500 _________;380;________;400
10Ê030Ê963;01.05.2014 0:10;______ _____ 500 _________;380;_______;300
10Ê064Ê528;17.03.2016 15:32;________;400;___ _________;0
10Ê031Ê012;25.12.2013 19:09;___ _________;0;______ _____ 500 _________;380
10Ê164Ê914;09.06.2016 9:20;_____ ______ 50;300;___ _________;0
10Ê173Ê891;17.03.2016 15:35;___ _________;0;________ 2015;399
10Ê153Ê199;26.04.2016 18:05;___ _________;0;________ 2015;399
10Ê039Ê496;15.03.2016 10:14;______ _____ 600 ____;480;________;400
10Ê031Ê269;08.05.2013 15:19;___ _________;0;______ _____ 500 _________;380
10Ê007Ê536;17.03.2016 15:44;___ _________;0;_____ ______ 50;300
10Ê177Ê638;02.06.2016 10:05;___ _________;0;_____ ______ 50;300
10Ê031Ê441;19.12.2012 10:47;___ _________;0;______ _____ 600 _________;480
10Ê031Ê655;17.05.2012 11:03;______ _____ 600;600;______ _____ 600 _________;480
10Ê031Ê669;22.11.2013 12:56;___ _________;0;_______;300
10Ê031Ê855;01.08.2013 0:10;______ _____ 500 _________;380;_______;300
10Ê175Ê604;26.04.2016 20:03;___ _________;0;_____ ______ 50;300
10Ê175Ê958;26.04.2016 20:09;___ _________;0;________ 2015;399
10Ê134Ê550;02.10.2014 15:03;______ _____ 500 _________;380;________;400
10Ê134Ê550;27.04.2016 16:16;________;400;___ _________;0
10Ê176Ê034;27.04.2016 16:16;___ _________;0;________ 2015;399
10Ê170Ê977;20.01.2016 17:11;___ _________;0;________;400
10Ê032Ê694;09.07.2013 10:12;___ _________;0;______ _____ 500 _________;380
10Ê170Ê977;17.03.2016 16:42;________;400;_________ 200;200
10Ê174Ê051;22.12.2016 10:32;_____ ______ 70;350;___ _________;0
10Ê033Ê576;24.12.2012 17:42;___ _________;0;______ _____ 500 _________;380
10Ê175Ê396;16.04.2016 18:37;___ _________;0;________ 2015;399
10Ê171Ê622;04.03.2016 10:50;_____ ______ 50;300;_________ 200;200
10Ê175Ê940;27.04.2016 16:25;___ _________;0;_____ ______ 50;300
10Ê056Ê104;28.01.2016 10:33;___ _________;0;_____ ______ 50;300
10Ê041Ê845;17.03.2016 16:46;___ _________;0;________;400
10Ê174Ê019;21.03.2016 16:55;___ _________;0;_____ ______ 50;300
10Ê076Ê145;21.09.2015 8:17;________;400;___ _________;0
10Ê144Ê003;24.07.2015 11:10;___ _________;0;________ 2015;399
10Ê144Ê003;28.04.2016 14:19;________ 2015;399;___ _________;0
10Ê179Ê281;20.07.2016 12:12;___ _________;0;________ 2015;399
10Ê043Ê725;01.03.2016 11:43;___ _________;0;________ 2015;399
10Ê035Ê127;16.01.2013 19:09;___ _________;0;______ _____ 500 _________;380
10Ê035Ê127;22.06.2013 14:46;______ _____ 500 _________;380;______ _____ 600 _________;480
10Ê035Ê187;19.10.2012 11:43;___ _________;0;______ _____ 500 _________;380
10Ê035Ê205;18.02.2013 17:38;___ _________;0;______ _____ 500 _________;380
10Ê035Ê288;11.01.2013 14:54;___ _________;0;_______;300
10Ê035Ê288;01.07.2013 11:15;______ _____ 500 _________;380;_______;300
10Ê035Ê288;01.04.2014 1:20;_______;300;______ _____ 500 _________;380
10Ê174Ê038;21.03.2016 10:03;___ _________;0;________ 2015;399
10Ê176Ê185;28.04.2016 14:25;___ _________;0;_____ ______ 50;300
10Ê173Ê643;18.03.2016 16:06;___ _________;0;________ 2015;399
10Ê035Ê910;23.08.2013 16:08;___ _________;0;______ _____ 600 ____;480
10Ê019Ê699;17.03.2016 17:05;___ _________;0;_____ ______ 50;300
10Ê036Ê059;02.04.2013 13:18;___ _________;0;______ _____ 500 _________;380
10Ê174Ê019;07.12.2016 11:08;_____ ______ 50;300;___ _________;0
10Ê173Ê397;17.03.2016 17:29;___ _________;0;_____ ______ 50;300
10Ê176Ê120;27.04.2016 17:33;___ _________;0;_____ ______ 70;350
10Ê175Ê822;27.04.2016 17:46;___ _________;0;_____ ______ 50;300
10Ê175Ê796;23.04.2016 16:35;___ _________;0;_____ ______ 50;300
10Ê091Ê883;17.03.2016 17:31;___ _________;0;_____ ______ 70;350
10Ê036Ê648;30.12.2012 14:56;___ _________;0;_______;300
10Ê173Ê124;17.03.2016 17:37;___ _________;0;_____ ______ 50;300
10Ê160Ê622;14.07.2015 12:52;___ _________;0;________ 2015;399
10Ê054Ê069;11.05.2016 10:26;___ _________;0;_____ ______ 50;300
10Ê173Ê887;17.03.2016 18:28;___ _________;0;_____ ______ 50;300
10Ê036Ê912;31.08.2014 17:26;___ _________;0;______ _____ 600 _________;480
10Ê184Ê386;09.11.2016 11:17;___ _________;0;_____ ______ 50;300
10Ê180Ê977;27.08.2016 14:05;___ _________;0;________;400
10Ê160Ê622;18.03.2016 16:37;________ 2015;399;___ _________;0
10Ê175Ê972;27.04.2016 18:46;___ _________;0;________;400
10Ê176Ê015;27.04.2016 18:51;___ _________;0;_____ ______ 50;300
10Ê156Ê243;28.05.2015 9:57;___ _________;0;_____ ______ 50;300
10Ê176Ê025;27.04.2016 19:02;___ _________;0;_____ ______ 50;300
10Ê156Ê243;28.04.2016 14:44;_____ ______ 50;300;___ _________;0
10Ê173Ê714;17.03.2016 18:45;___ _________;0;_____ ______ 50;300
10Ê173Ê903;17.03.2016 18:54;___ _________;0;________ 2015;399
10Ê066Ê193;27.04.2016 19:06;___ _________;0;_____ ______ 50;300
10Ê142Ê736;18.03.2016 16:44;___ _________;0;_____ ______ 70;350
10Ê070Ê006;17.03.2016 19:58;___ _________;0;_____ ______ 50;300
10Ê151Ê866;13.08.2015 10:05;___ _________;0;________ 2015;399
10Ê171Ê327;26.01.2016 11:03;___ _________;0;________ 2015;399
10Ê038Ê485;09.04.2014 15:25;___ _________;0;______ _____ 600 _________;480
10Ê119Ê767;09.12.2014 17:36;______ _____ 600 _________;480;________;400
10Ê176Ê008;27.04.2016 21:05;___ _________;0;_____ ______ 70;350
10Ê173Ê967;18.03.2016 17:21;___ _________;0;_____ ______ 70;350
10Ê176Ê214;29.04.2016 13:54;___ _________;0;_____ ______ 70;350
10Ê149Ê092;27.04.2016 22:08;___ _________;0;_____ ______ 70;350
10Ê173Ê912;18.03.2016 17:37;___ _________;0;_____ ______ 50;300
10Ê175Ê129;28.04.2016 15:20;___ _________;0;________ 2015;399
10Ê031Ê441;01.06.2016 10:28;___ _________;0;___________ 50;250
10Ê173Ê935;18.03.2016 18:19;___ _________;0;________ 2015;399
10Ê039Ê322;21.02.2013 15:51;___ _________;0;______ _____ 500 _________;380
10Ê027Ê923;18.03.2016 18:23;___ _________;0;_____ ______ 50;300
10Ê083Ê249;22.03.2016 11:16;______ _____ 500 _________;380;___ _________;0
10Ê039Ê511;03.03.2014 11:09;___ _________;0;______ _____ 500 _________;380
10Ê082Ê457;27.10.2016 10:42;___ _________;0;_____ ______ 70;350
10Ê176Ê108;28.04.2016 16:06;___ _________;0;________ 2015;399
10Ê109Ê844;23.10.2016 10:06;___ _________;0;_____ ______ 50;300
10Ê063Ê855;18.03.2016 18:40;___ _________;0;________ 2015;399
10Ê023Ê496;12.08.2016 10:38;___ _________;0;________ 2015;399
10Ê177Ê647;02.06.2016 10:08;___ _________;0;________ 2015;399
10Ê057Ê713;29.04.2016 14:17;___ _________;0;_____ ______ 50;300
10Ê053Ê605;28.04.2016 16:38;________;400;___________ 50;250
10Ê040Ê145;25.02.2013 16:40;___ _________;0;______ _____ 500 _________;380
10Ê152Ê134;28.04.2016 16:40;___ _________;0;_____ ______ 70;350
10Ê173Ê982;18.03.2016 19:13;___ _________;0;_____ ______ 50;300
10Ê175Ê693;28.04.2016 16:49;___ _________;0;_____ ______ 50;300
10Ê173Ê818;18.03.2016 19:22;___ _________;0;_____ ______ 70;350
10Ê176Ê187;29.04.2016 14:21;_____ ______ 70;350;___ _________;0
10Ê173Ê942;18.03.2016 19:26;___ _________;0;_____ ______ 70;350
10Ê175Ê771;28.04.2016 17:42;___ _________;0;________ 2015;399
10Ê176Ê189;28.04.2016 18:00;___ _________;0;________ 2015;399
10Ê067Ê832;18.03.2016 19:35;___ _________;0;_____ ______ 50;300
10Ê040Ê707;18.05.2013 9:59;___ _________;0;______ _____ 500 _________;380
10Ê156Ê536;29.12.2015 10:23;___ _________;0;________ 2015;399
10Ê040Ê827;22.07.2014 16:57;___ _________;0;______ _____ 500 _________;380
10Ê112Ê074;05.05.2016 10:53;___ _________;0;________ 2015;399
10Ê108Ê737;18.03.2016 20:18;___ _________;0;________ 2015;399
10Ê041Ê025;17.12.2012 10:48;___ _________;0;______ _____ 500 _________;380
10Ê176Ê023;28.04.2016 18:19;___ _________;0;_____ ______ 70;350
10Ê181Ê445;06.09.2016 10:44;___ _________;0;_____ ______ 50;300
10Ê041Ê736;01.02.2014 10:28;___ _________;0;______ _____ 500 _________;380
10Ê030Ê861;12.01.2016 13:09;___ _________;0;_____ ______ 50;300
10Ê176Ê074;28.04.2016 18:52;___ _________;0;_____ ______ 50;300
10Ê042Ê446;05.07.2013 18:52;___ _________;0;______ _____ 500 _________;380
10Ê042Ê534;09.01.2013 11:01;___ _________;0;______ _____ 500 _________;380
10Ê131Ê716;21.03.2016 11:05;___ _________;0;___________ 50;250
10Ê175Ê701;28.04.2016 19:07;___ _________;0;_____ ______ 50;300
10Ê164Ê153;21.03.2016 11:09;___ _________;0;_____ ______ 50;300
10Ê124Ê943;28.04.2016 19:11;___ _________;0;_____ ______ 50;300
10Ê176Ê228;28.04.2016 19:36;___ _________;0;________ 2015;399
10Ê173Ê828;28.04.2016 19:54;___ _________;0;________ 2015;399
10Ê179Ê135;14.07.2016 9:15;___ _________;0;_____ ______ 70;350
10Ê176Ê140;28.04.2016 19:59;___ _________;0;_____ ______ 50;300
10Ê043Ê626;10.06.2013 16:43;___ _________;0;______ _____ 600 _________;480
10Ê175Ê722;28.04.2016 20:42;___ _________;0;_____ ______ 70;350
10Ê043Ê969;21.02.2014 11:03;___ _________;0;______ _____ 500 _________;380
10Ê044Ê084;21.03.2013 17:55;___ _________;0;______ _____ 600 _________;480
10Ê175Ê019;29.04.2016 15:09;___ _________;0;_____ ______ 50;300
10Ê175Ê928;28.04.2016 21:15;___ _________;0;________ 2015;399
10Ê063Ê858;02.02.2016 10:28;___ _________;0;________ 2015;399
10Ê175Ê798;28.04.2016 21:24;___ _________;0;_____ ______ 70;350
10Ê175Ê888;30.04.2016 15:51;___ _________;0;_____ ______ 70;350
10Ê147Ê082;21.03.2016 11:40;___ _________;0;_____ ______ 50;300
10Ê176Ê187;28.04.2016 22:03;___ _________;0;_____ ______ 70;350
10Ê176Ê276;29.04.2016 15:12;___ _________;0;_____ ______ 70;350
10Ê114Ê558;12.02.2015 11:30;___ _________;0;________;400
10Ê044Ê648;04.04.2013 18:49;___ _________;0;_______;300
10Ê114Ê558;29.04.2016 15:17;________;400;___ _________;0
10Ê082Ê618;03.04.2016 14:10;___ _________;0;_____ ______ 70;350
10Ê044Ê974;31.08.2014 12:34;______ _____ 500 _________;380;__600;600
10Ê044Ê974;11.06.2013 9:53;___ _________;0;______ _____ 500 _________;380
10Ê029Ê362;29.04.2016 15:24;___ _________;0;_____ ______ 50;300
10Ê107Ê002;03.08.2016 11:09;________ 2015;399;___ _________;0
10Ê097Ê304;26.06.2016 15:04;___ _________;0;_____ ______ 50;300
10Ê045Ê594;15.06.2012 13:14;__ _____ 10;300;_______;300
10Ê045Ê594;11.01.2014 12:43;_______;300;______ _____ 600 _________;480
10Ê045Ê645;07.02.2013 10:48;___ _________;0;_______;300
10Ê176Ê925;18.05.2016 9:53;___ _________;0;_____ ______ 50;300
10Ê176Ê329;03.05.2016 13:41;___ _________;0;_____ ______ 70;350
10Ê171Ê623;30.01.2016 15:08;___ _________;0;________ 2015;399
10Ê175Ê851;29.04.2016 15:33;___ _________;0;________;400
10Ê045Ê979;12.02.2013 20:18;___ _________;0;______ _____ 500 _________;380
10Ê138Ê983;11.11.2016 10:44;___ _________;0;_____ ______ 70;350
10Ê053Ê626;12.12.2011 20:05;______ _____ 500;500;______ _____ 600;600
10Ê173Ê698;21.03.2016 12:38;___ _________;0;_____ ______ 70;350
10Ê179Ê691;30.07.2016 16:02;___ _________;0;___________ 50;250
10Ê031Ê006;23.01.2016 16:08;___ _________;0;_____ ______ 50;300
10Ê176Ê225;29.04.2016 15:53;________ 2015;399;_____ ______ 70;350
10Ê026Ê241;21.01.2016 12:54;___ _________;0;_____ ______ 50;300
10Ê060Ê055;21.03.2016 13:03;___ _________;0;________ 2015;399
10Ê169Ê945;26.12.2015 14:10;___ _________;0;________ 2015;399
10Ê173Ê222;01.03.2016 11:45;___ _________;0;________ 2015;399
10Ê027Ê400;27.10.2015 15:16;___ _________;0;_____ ______ 70;350
10Ê044Ê610;10.01.2016 11:14;___ _________;0;________ 2015;399
10Ê176Ê348;03.05.2016 14:00;___ _________;0;_____ ______ 50;300
10Ê056Ê292;22.02.2013 12:25;___ _________;0;_______+;500
10Ê182Ê352;01.11.2016 11:09;___ _________;0;_____ ______ 70;350
10Ê038Ê163;21.03.2016 13:10;___ _________;0;_____ ______ 50;300
10Ê135Ê112;12.10.2016 10:48;___ _________;0;________ 2015;399
10Ê169Ê039;14.12.2015 17:17;___ _________;0;________ 2015;399
10Ê057Ê127;06.02.2013 14:18;___ _________;0;______ _____ 500 _________;380
10Ê057Ê182;19.04.2013 17:31;___ _________;0;______ _____ 500 _________;380
10Ê057Ê197;18.03.2013 19:14;___ _________;0;______ _____ 500 _________;380
10Ê064Ê188;28.02.2016 11:09;___ _________;0;_____ ______ 70;350
10Ê163Ê825;17.09.2015 21:40;___ _________;0;_____ ______ 70;350
10Ê027Ê400;31.03.2016 10:02;_____ ______ 70;350;___ _________;0
10Ê176Ê271;29.04.2016 16:25;___ _________;0;_____ ______ 70;350
10Ê089Ê515;15.06.2016 10:44;___ _________;0;________ 2015;399
10Ê175Ê975;29.04.2016 16:47;___ _________;0;________;400
10Ê112Ê378;29.04.2016 16:53;___ _________;0;________ 2015;399
10Ê157Ê280;03.05.2016 14:04;___ _________;0;_____ ______ 70;350
10Ê163Ê825;05.05.2016 10:56;_____ ______ 70;350;___ _________;0
10Ê043Ê392;28.01.2016 10:38;___ _________;0;_____ ______ 70;350
10Ê094Ê116;21.01.2016 11:46;___ _________;0;_____ ______ 70;350
10Ê176Ê219;29.04.2016 17:24;___ _________;0;_____ ______ 70;350
10Ê081Ê215;21.03.2016 13:25;___ _________;0;_____ ______ 50;300
10Ê059Ê473;01.11.2012 16:02;___ _________;0;______ _____ 500 _________;380
10Ê176Ê178;29.04.2016 17:59;___ _________;0;_____ ______ 50;300
10Ê174Ê048;21.03.2016 13:34;___ _________;0;________ 2015;399
10Ê176Ê230;03.05.2016 14:16;___ _________;0;_____ ______ 50;300
10Ê176Ê016;29.04.2016 18:02;___ _________;0;_____ ______ 50;300
10Ê059Ê993;01.04.2014 1:20;_______;300;______ _____ 500 _________;380
10Ê175Ê875;29.04.2016 18:30;___ _________;0;________ 2015;399
10Ê017Ê313;29.04.2016 19:00;___ _________;0;_____ ______ 70;350
